action step s r x y
[step] 871 2 0 79 58
[step] 872 2 0 79 57
[step] 873 2 0 80 57
[step] 874 2 0 81 57
[step] 875 2 0 82 57
[step] 876 2 0 83 57
[step] 877 2 0 84 57
[step] 878 2 0 85 57
[step] 879 2 0 86 57
[step] 880 2 0 87 57
[step] 881 2 0 87 58
[step] 882 2 0 88 58
[step] 883 2 0 89 58
[step] 884 2 0 90 58
[step] 885 1 0 90 57
[step] 886 1 0 89 57
[step] 887 1 0 88 57
[step] 888 1 0 87 57
[step] 889 1 0 87 58
[step] 890 1 0 87 57
[step] 891 1 0 87 58
[step] 892 1 0 86 58
[step] 893 1 0 85 58
[step] 894 1 0 84 58
[step] 895 1 0 83 58
[step] 896 1 0 82 58
[step] 897 1 0 82 57
[step] 898 1 0 82 56
[step] 899 1 0 82 57
[step] 900 1 0 81 57
[step] 901 1 0 81 56
[step] 902 1 0 80 56
[step] 903 1 0 79 56
[step] 904 1 0 78 56
[step] 905 1 0 77 56
[step] 906 1 0 76 56
[step] 907 1 0 75 56
[step] 908 1 0 74 56
[step] 909 2 0 74 57
[step] 910 1 0 75 57
[step] 911 1 0 74 57
[step] 912 1 0 73 57
[step] 913 1 0 72 57
[step] 914 2 0 72 56
[step] 915 2 0 73 56
[step] 916 2 0 74 56
[step] 917 2 0 75 56
[step] 918 2 0 75 57
[step] 919 2 0 76 57
[step] 920 2 0 77 57
[step] 921 2 0 78 57
[step] 922 2 0 79 57
[step] 923 2 0 80 57
[step] 924 1 0 81 57
[step] 925 1 0 80 57
[step] 926 1 0 79 57
[step] 927 1 0 78 57
[step] 928 2 0 77 57
[step] 929 2 0 77 56
[step] 930 2 0 77 57
[step] 931 2 0 78 57
[step] 932 2 0 79 57
[step] 933 2 0 80 57
[step] 934 2 0 81 57
[step] 935 1 0 82 57
[step] 936 1 0 81 57
[step] 937 1 0 81 58
[step] 938 1 0 80 58
[step] 939 1 0 79 58
[step] 940 1 0 78 58
[step] 941 1 0 77 58
[step] 942 2 0 77 59
[step] 943 1 0 77 60
[step] 944 1 0 76 60
[step] 945 1 0 76 61
[step] 946 1 0 75 61
[step] 947 1 0 75 60
[step] 948 2 0 74 60
[step] 949 2 0 74 59
[step] 950 2 0 75 59
[step] 951 2 0 76 59
[step] 952 2 0 77 59
[step] 953 2 0 78 59
[step] 954 2 0 78 60
[step] 955 2 0 79 60
[step] 956 2 0 80 60
[step] 957 2 0 81 60
[step] 958 2 0 82 60
[step] 959 1 0 82 61
[step] 960 2 0 81 61
[step] 961 1 0 82 61
[step] 962 1 0 82 62
[step] 963 1 0 81 62
[step] 964 1 0 80 62
[step] 965 1 0 79 62
[step] 966 1 0 78 62
[step] 967 1 0 78 63
[step] 968 1 0 78 62
[step] 969 1 0 77 62
[step] 970 2 0 76 62
[step] 971 2 0 76 61
[step] 972 2 0 77 61
[step] 973 2 0 78 61
[step] 974 2 0 78 60
[step] 975 2 0 78 59
[step] 976 2 0 79 59
[step] 977 2 0 79 58
[step] 978 2 0 80 58
[step] 979 2 0 81 58
[step] 980 2 0 82 58
[step] 981 2 0 83 58
[step] 982 2 0 84 58
[step] 983 2 0 85 58
[step] 984 2 0 86 58
[step] 985 2 0 86 57
[step] 986 2 0 87 57
[step] 987 1 0 87 56
[step] 988 1 0 86 56
[step] 989 1 0 85 56
[step] 990 1 0 85 57
[step] 991 1 0 84 57
[step] 992 1 0 83 57
[step] 993 1 0 82 57
[step] 994 2 0 81 57
[step] 995 2 0 82 57
[step] 996 2 0 83 57
